term_str|n|p|s|i|max_pos|max_pos_group|df|dfidf|stop|porter_stem
information|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|inform
outlanders|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|3|20.523906761942825|0|outland
requests|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|3|20.523906761942825|0|request
polemen|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|3|20.523906761942825|0|polemen
frogfaced|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|frogfac
temmo|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|1|8.426264754702098|0|temmo
flatterers|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|3|20.523906761942825|0|flatter
clanged|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBN|VB|4|25.70505901880839|0|clang
lumpyface|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|3|20.523906761942825|0|lumpyfac
dumping|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBG|VB|4|25.70505901880839|0|dump
strangling|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBG|VB|4|25.70505901880839|0|strangl
mellario|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|3|20.523906761942825|0|mellario
whacking|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBG|VB|4|25.70505901880839|0|whack
draqaz|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|1|8.426264754702098|0|draqaz
assembly|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|assembl
browntooth|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|3|20.523906761942825|0|browntooth
whalers|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|whaler
gush|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|gush
deigned|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBD|VB|4|25.70505901880839|0|deign
gear|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|gear
denizens|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|denizen
moonstone|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|moonston
palefaced|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|palefac
styles|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBZ|VB|4|25.70505901880839|0|style
louts|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|2|14.852529509404196|0|lout
fraught|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|fraught
nobody|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|3|20.523906761942825|0|nobodi
ruinous|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|ruinou
whack|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|3|20.523906761942825|0|whack
destiny|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|destini
guardians|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|guardian
hummocks|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|hummock
raindrops|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|raindrop
chaotic|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|chaotic
hoisting|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBG|VB|4|25.70505901880839|0|hoist
scampering|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBG|VB|4|25.70505901880839|0|scamper
inevitably|4|2.2664147924360673e-06|441225.5|18.7511566462828|RB|RB|4|25.70505901880839|0|inevit
